,,dice,dice,dice,dice,hd95_mm,hd95_mm,hd95_mm,hd95_mm,lesion_f1,lesion_f1,lesion_f1,lesion_f1,avd_mm3,avd_mm3,avd_mm3,avd_mm3,lesion_count_diff,lesion_count_diff,lesion_count_diff,lesion_count_diff
,,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count
experiment,split,,,,,,,,,,,,,,,,,,,,
nnUNetTrainerBaseline_500epochs,test_id,0.6278,0.2808,0.7386,120,21.8809,24.9924,7.9593,120,0.603,0.279,0.5941,120,6350.9636,10506.9099,1693.5,120,2.425,3.4826,1.0,120
nnUNetTrainerBaseline_500epochs,test_ood,0.6764,0.2537,0.7779,129,14.2148,18.5041,5.6566,127,0.6689,0.2929,0.6667,129,4677.7817,7671.8392,1593.0038,129,1.6124,2.6259,1.0,129
nnUNetTrainerBaseline_500epochs,val,0.6483,0.2616,0.7282,119,19.7015,23.3419,7.4932,117,0.6317,0.2812,0.6667,119,4783.9749,7314.662,1552.0,119,2.0756,3.6573,1.0,119
nnUNetTrainerFocalTversky_500epochs,test_id,0.6188,0.2767,0.7164,120,21.866,24.7856,8.0623,119,0.613,0.2854,0.6667,120,7924.9451,13630.6373,2159.25,120,2.5667,3.355,1.0,120
nnUNetTrainerFocalTversky_500epochs,test_ood,0.6383,0.2622,0.7329,129,17.0472,19.5662,6.4807,129,0.6454,0.281,0.6667,129,6641.812,10049.9949,2427.7777,129,1.876,2.2326,1.0,129
nnUNetTrainerFocalTversky_500epochs,val,0.6486,0.2496,0.7111,119,18.6997,21.2116,7.6287,118,0.6379,0.2628,0.6667,119,5577.2247,8782.1561,1829.8185,119,2.1176,3.655,1.0,119
nnUNetTrainerLesionAwareSamplingPow_500epochs_full,test_id,0.6127,0.2792,0.7158,120,20.8188,24.2,8.1866,120,0.6133,0.2897,0.6667,120,6645.0697,11665.8806,1645.6562,120,2.3333,3.3963,1.0,120
nnUNetTrainerLesionAwareSamplingPow_500epochs_full,test_ood,0.6772,0.2526,0.7802,129,14.4372,17.9244,5.1468,129,0.6336,0.3028,0.6667,129,5015.7924,9319.0244,1170.0,129,1.4961,2.2013,1.0,129
nnUNetTrainerLesionAwareSamplingPow_500epochs_full,val,0.6127,0.2807,0.72,119,21.875,25.0213,8.0623,117,0.6083,0.2832,0.6667,119,6425.1673,11028.4914,1637.0,119,2.0588,3.625,1.0,119
nnUNetTrainerLesionAwareSampling_500epochs_full,test_id,0.6201,0.2845,0.732,120,20.3412,23.626,8.2462,119,0.6261,0.308,0.6667,120,6209.8075,10644.3525,1472.5,120,2.1667,3.3339,1.0,120
nnUNetTrainerLesionAwareSampling_500epochs_full,test_ood,0.6769,0.2536,0.786,129,15.1105,20.061,5.4312,126,0.6822,0.3035,0.6667,129,4962.7611,8783.53,1594.0,129,1.4729,2.2676,1.0,129
nnUNetTrainerLesionAwareSampling_500epochs_full,val,0.6276,0.2715,0.7231,119,21.5691,25.182,8.2153,117,0.6204,0.2869,0.6667,119,5672.0253,9305.3686,1679.0,119,1.9496,3.6934,1.0,119
nnUNetTrainerTverskyMild_500epochs,val,0.6434,0.2674,0.7373,119,19.539,23.6398,7.4212,117,0.6457,0.2827,0.6667,119,4955.111,7654.1139,1458.0,119,1.9832,3.7687,1.0,119
nnUNetTrainerWideAugBaseline_500epochs,test_id,0.6284,0.2807,0.7388,120,19.4755,22.3355,7.937,118,0.6307,0.2978,0.6667,120,,,,0,,,,0
nnUNetTrainerWideAugBaseline_500epochs,test_ood,0.6864,0.2535,0.7897,129,13.9334,19.0663,5.099,127,0.6867,0.2896,0.6667,129,,,,0,,,,0
nnUNetTrainerWideAugBaseline_500epochs,val,0.6481,0.265,0.7426,119,18.071,21.6399,7.3485,117,0.6651,0.2668,0.6667,119,,,,0,,,,0
